index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Kuzmice,Borša,23 min,26 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,23,SK HOBO CORE,se
0,Slanec,Kalša,5 min,5 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,5,SK HOBO CORE,se
0,Slovenské Nové Mesto,Kalša,23 min,28 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,23,SK HOBO CORE,se
0,Somotor,Kalša,39 min,39 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,39,SK HOBO CORE,se
0,Vyšná Myšľa,Kalša,19 min,17 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,19,SK HOBO CORE,se
0,Streda nad Bodrogom,Kalša,32 min,36 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,32,SK HOBO CORE,se
0,Čeľovce,Košice,39 min,45 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,39,SK HOBO CORE,se
0,Čerhov,Košice,58 min,55 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,58,SK HOBO CORE,se
0,Kalša,Košice,39 min,34 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,39,SK HOBO CORE,se
0,Kuzmice,Košice,45 min,40 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,45,SK HOBO CORE,se
0,Michaľany,Košice,52 min,48 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,52,SK HOBO CORE,se
0,Nižná Myšľa,Košice,16 min,15 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,16,SK HOBO CORE,se
0,Obišovce,Košice,22 min,19 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,22,SK HOBO CORE,se
0,Ruskov,Košice,26 min,22 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,26,SK HOBO CORE,se
0,Slanec,Košice,33 min,29 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,33,SK HOBO CORE,se
0,Slovenské Nové Mesto,Košice,1 hod 3 min,62 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,63,SK HOBO CORE,se
0,Somotor,Košice,1 hod 19 min,73 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,79,SK HOBO CORE,se
0,Obišovce,Kostoľany nad Hornádom,11 min,10 km,TRUE,0101000020E610000015771783E23E35405C621BA7D7654840,11,SK HOBO CORE,nw
0,Bohdanovce,Kuzmice,21 min,21 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,21,SK HOBO CORE,se
0,Borša,Kuzmice,22 min,26 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,22,SK HOBO CORE,se
0,Čerhov,Kuzmice,12 min,15 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,12,SK HOBO CORE,se
0,Kalša,Kuzmice,5 min,6 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,5,SK HOBO CORE,se
0,Michaľany,Kuzmice,6 min,8 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,6,SK HOBO CORE,se
0,Nižná Myšľa,Kuzmice,27 min,25 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,27,SK HOBO CORE,se
0,Ruskov,Kuzmice,17 min,18 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,17,SK HOBO CORE,se
0,Michaľany,Nižná Myšľa,35 min,33 km,TRUE,0101000020E61000003A58FFE7305F354094BC3AC780504840,35,SK HOBO CORE,se
0,Ruskov,Nižná Myšľa,9 min,7 km,TRUE,0101000020E61000003A58FFE7305F354094BC3AC780504840,9,SK HOBO CORE,se
0,Slanec,Nižná Myšľa,16 min,14 km,TRUE,0101000020E61000003A58FFE7305F354094BC3AC780504840,16,SK HOBO CORE,se
0,Slovenské Nové Mesto,Nižná Myšľa,46 min,47 km,TRUE,0101000020E61000003A58FFE7305F354094BC3AC780504840,46,SK HOBO CORE,se
0,Somotor,Nižná Myšľa,1 hod 2 min,58 km,TRUE,0101000020E61000003A58FFE7305F354094BC3AC780504840,62,SK HOBO CORE,se
0,Vyšná Myšľa,Nižná Myšľa,2 min,2 km,TRUE,0101000020E61000003A58FFE7305F354094BC3AC780504840,2,SK HOBO CORE,se
0,Streda nad Bodrogom,Nižná Myšľa,55 min,55 km,TRUE,0101000020E61000003A58FFE7305F354094BC3AC780504840,55,SK HOBO CORE,se
0,Bohdanovce,Ruskov,4 min,3 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,4,SK HOBO CORE,se
0,Borša,Ruskov,40 min,44 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,40,SK HOBO CORE,se
0,Čerhov,Ruskov,30 min,33 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,30,SK HOBO CORE,se
0,Kalša,Ruskov,11 min,12 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,11,SK HOBO CORE,se
0,Kuzmice,Ruskov,17 min,18 km,TRUE,0101000020E6100000BA51BF66146E35405094DFFD4C564840,17,SK HOBO CORE,se
