nam,objectid,min,nm4,status_en,further_use_en,poznamka,geom
Hrčeľský potok,1933,498.9736721,Veľaty,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000000D5245735AB354048A8227A31424840
Hrubša,2034,453.5968905,Kostoľany nad Hornádom,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000070EC26265F3E3540606835C4FB644840
Hrubša,2035,450.6245904,Kostoľany nad Hornádom,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000010E997C59A3C3540309CB4DB74664840
Hrubša,2062,400.9039592,Kostoľany nad Hornádom,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000E0A41B2EE03C35406875FA2D79664840
Hrubša,2064,699.457281,Družstevná pri Hornáde,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000701A394ADF423540B8E460BF72654840
Hrubša,2065,543.4070564,Družstevná pri Hornáde,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000F03310334A42354060358BF47B654840
Hrubša,2314,432.248139,Družstevná pri Hornáde,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000502828452B3D354070686D94A1664840
Ida,4599,334.591013,Košice-Šaca,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000D087BF77B22C354080866D14244F4840
Ida,8430,181.4202333,Košice-Šaca,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000050869DDBE4283540A0506E991B524840
Izra,2817,358.2105147,Kazimír,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E610000001000000010100000020AC98B423943540281FEEFCF8424840
Jastrabský potok,1669,248.5541246,Cejkov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000F09A00058FC33540304D1807763C4840
Jastrabský potok,2477,780.4221864,Cejkov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka. Skládka KO vznikla v roku 1970. V minulosti sa na skládku vyvážal odpad z obce. V súčastnosti je skládka ohradená. Sančné práce sú v štádiu prípravy.,0104000020E6100000010000000101000000502B386821C43540F04ED8C7C83B4840
Jastrabský potok,2478,880.913856,Cejkov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000010210E7C86C5354050B9F71AC93B4840
kanál Bodrog-Kamenec,1525,997.8346997,Streda nad Bodrogom,"modified (overlay, landscaping, etc.)",reclamation,Išlo o starú neriadenú skládku. Monitoring raz za 3 roky.,0104000020E610000001000000010100000010A233458DC83540E8302EDBA22D4840
kanál Bodrog-Kamenec,2563,584.6069817,Veľký Kamenec,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E6100000010000000101000000001FC39DEACA3540287582D0562D4840
